idInterno,quienRegistro,fechaRegistro,fechaEstado,etapa,actuacion,observacion
11001310302120220000800,Sistema,2025-08-21,2025-08-20,,Fijacion estado,Actuación registrada el 20/08/2025 a las 11:31:43.
11001310302120220000800,Sistema,2025-08-21,2025-08-20,,Auto aprueba liquidación,APRUEBA CREDITO
11001310302120220000800,Sistema,2025-08-21,2025-08-20,,Fijacion estado,Actuación registrada el 20/08/2025 a las 11:31:43.
11001310302120220000800,Sistema,2025-08-21,2025-08-20,,Auto aprueba liquidación,APRUEBA CREDITO
11001310302320210010500,Sistema,2025-08-21,2025-08-20,,Recepción memorial,"Radicado No. 8670-2025, Entidad o Señor(a): NANCY ACERO - Tercer Interesado, Aportó Documento: Memorial, Con La Solucitud: Otro, Observaciones: SOLCIITUD ACEPTAR CESION - RECONOCER PERSONERIA De: nancy acero <nancymerced228@yahoo.es> Enviado: miércoles, 20 de agosto de 2025 15:12 11001310302320210010500 JDO 5 // JG // FL 9"
11001310302720220027800,Sistema,2025-08-21,2025-08-20,,Recepción memorial,"Radicado No. 8642-2025, Entidad o Señor(a): CAROLINA GARZON - Tercer Interesado, Aportó Documento: Memorial, Con La Solucitud: Otro, Observaciones: SOLICITUD RECONOCER SUBROGACION Y ACEPTAR CESION **VIRTUAL** De: Notificaciones Judiciales <notificacionesjudiciales@cisa.gov.co> Enviado: miércoles, 20 de agosto de 2025 10:12 11001310302720220027800 JDO 5 // JG // FL 69"
11001310302720220027800,Sistema,2025-08-21,2025-08-21,,Al despacho,Proceso se tramita de manera virtual//JER
11001310303020220028500,Sistema,2025-08-21,2025-08-21,,Recepción memorial,"Radicado No. 9219-2025, Entidad o Señor(a): LIZETH XIMENA CUEVAS CA - Tercer Interesado, Aportó Documento: Memorial, Con La Solucitud: Memorial, Observaciones: SOLICITUD AMPLIACIÓN DE MEDIDA CAUTELAR // SV // FL 2 De: Oficina Apoyo Juzgado 04 Civil Circuito Ejecución Sentencias - Bogotá - Bogotá D.C. <ofiapoyoj04ejeccbta@cendoj.ramajudicial.gov.co>Enviado: martes, 19 de agosto de 2025 17:43 11001310303020220028500 JDO 4"
11001310303920220024800,Sistema,2025-08-21,2025-08-20,,Elaboración de oficios,PROCESO VIRTUAL // SE ELABORA OFICIO No. NC02971// PASA A LA FIRMA AZ // NC
11001310304020160002400,Sistema,2025-08-21,2025-08-21,,Movimiento expediente,Expediente pasa al área de TITULOS //02 Cuadernos //JSMD
11001310304120220044300,Sistema,2025-08-21,2025-09-02,,Al despacho,EXPEDIENTE DIGITAL / cumplimiento auto gbg
11001310304220230007300,Sistema,2025-08-21,2025-08-21,,Traslado Art. 326 Inciso 1° C.G.P.,
11001310304420220052400,Sistema,2025-08-21,2025-08-20,,Remite a la oficina de apoyo,
11001310304420230000600,Sistema,2025-08-21,2025-08-20,,Remite a la oficina de apoyo,
11001310304420230007300,Sistema,2025-08-21,2025-08-20,,Remite a la oficina de apoyo,
11001310304420230010600,Sistema,2025-08-21,2025-08-22,,Traslado Liquidación Credito Art. 446 C.G.P.,
11001310304920210070000,Sistema,2025-08-21,2025-08-20,,Recepción memorial,"Radicado No. 9143-2025, Entidad o Señor(a): MAURICIO CARVAJAL VALEK - Tercer Interesado, Aportó Documento: Memorial, Con La Solucitud: Otro, Observaciones: SE SOLICITA DAR TRAMITE A LA RENUNCIA PROCESO//De: mcv <mcv@carvajalvalekabogados.com> Enviado: miércoles, 20 de agosto de 2025 14:21//11001310304920210070000//J-01//FL 02//MAC"
11001311001520240019700,Sistema,2025-08-21,2025-08-20,,Al despacho,
11001400300420210091200,Sistema,2025-08-21,2025-08-21,,Al despacho,PROCESO DIGITAL INGRESA AL DESPACHO// CESION// ANGELICA LUGO
11001310303120220027500,Sistema,2025-08-21,2025-08-21,,Fijacion estado,Actuación registrada el 21/08/2025 a las 14:17:12.
11001310303120220027500,Sistema,2025-08-21,2025-08-21,,Auto reconoce personería,*** PROCESO VIRTUAL **** RECONOCE PERSONERIA APODERADO CESIONARIO CISA S.A.
11001400301320220102400,Sistema,2025-08-21,2025-08-20,,Al despacho,PROCESO DIGITAL INGRESA AL DESPACHO // ESTEBAN BERMUDEZ H.
11001400301820220081500,Sistema,2025-08-21,2025-08-20,,Comunicación secretarial firmada,FIRMADO PROCESO DIGITAL PASA A ENVIO 1 LEV TRANSITO JRIANOS
11001400302620220102100,Sistema,2025-08-21,2025-08-21,,Al despacho,poder
11001400302720150105400,Sistema,2025-08-21,2025-08-20,,Constancia secretarial,PROCESO BAJA DEL DESPACHO CON ESTADO /PASA A OFICIOS PARA LO PERTINENTE/ FINALIZADO EL TRAMITE PASAR AL AREA DE TITULOS/ SE AGREGA INFORME POR AUTO CUMPLASE/ JULIAN SANCHEZ
11001400303420150128400,Sistema,2025-08-21,2025-08-20,,Fijacion estado,Actuación registrada el 20/08/2025 a las 11:08:32.
11001400303420150128400,Sistema,2025-08-21,2025-08-20,,Auto requiere,(FIL543) OTROS // AUTO REQUIERE
11001400303420150128400,Sistema,2025-08-21,2025-08-20,,Fijacion estado,Actuación registrada el 20/08/2025 a las 11:08:15.
11001400303420150128400,Sistema,2025-08-21,2025-08-20,,Auto resuelve Solicitud,(FIL5339) LIQUIDACIÓN DE COSTAS Y CRÉDITOS // AUTO NIEGA ACTUALIZACION DE LA LIQ
11001400304220170153300,Sistema,2025-08-21,2025-08-28,,Al despacho,PROCESO HB INGRESA AL DESPACHO//ESTEBAN BERMUDEZ H.
11001400304620080066100,Sistema,2025-08-21,2025-08-20,,Recepción memorial,"Radicado No. 15091-2025, No. Reloj Radicador: 194281, Entidad o Señor(a): CLAUDIA GARCIA - Tercer Interesado, Aportó Documento: Memorial, Con La Solucitud: Dar Trámite, Observaciones: CESION DERECHOS"
11001400304820220070900,Sistema,2025-08-21,2025-08-28,,Constancia secretarial,MEMORIAL AL DESPACHO/ESTEBAN BERMUDEZ H.
11001400304820220070900,Sistema,2025-08-21,2025-08-26,,Al despacho,PROCESO DIGITAL INGRESA AL DESPACHO // ESTEBAN BERMUDEZ H.
11001400305220210089600,Sistema,2025-08-21,2025-08-20,,Recepción memorial,COMUNICADO BANCO AGRARIO / AV
11001400306820090054900,Sistema,2025-08-21,2025-08-21,,Fijacion estado,Actuación registrada el 21/08/2025 a las 12:50:20.
11001400306820090054900,Sistema,2025-08-21,2025-08-21,,Auto niega medidas cautelares,MEDIDAS CAUTELARES (FIL107) (FIL5007) (FIL5341) (FIL543)
73001310300420200020800,Sistema,2025-08-21,2025-08-20,,Fijacion estado,Actuación registrada el 20/08/2025 a las 21:18:05.
73001310300420200020800,Sistema,2025-08-21,2025-08-20,,Auto requiere,REQUIERE A LA ARTE ACTORA PARA QUE INFORME NOBRE Y DATOS DE UBICACIÓN DE HEREDEROS DEL DEMANDADO JOSE ANTONIO SANDOVAL ROA
11001311001520240019700,Sistema,2025-08-21,2025-08-20,,Al despacho,
73001310300420200020800,Sistema,2025-08-21,2025-08-20,,Fijacion estado,Actuación registrada el 20/08/2025 a las 21:18:05.
73001310300420200020800,Sistema,2025-08-21,2025-08-20,,Auto requiere,REQUIERE A LA ARTE ACTORA PARA QUE INFORME NOBRE Y DATOS DE UBICACIÓN DE HEREDEROS DEL DEMANDADO JOSE ANTONIO SANDOVAL ROA
